hour,interval,Pimp,Pexp,H,SoC,L_BW1,L_BW2,A_DC,Pch,Pdis,P_source,P_fan,P_cooling,TRCU,QRCU,PS1,PS2,Ti1,Ti2,To1,To2
0,0,0.7482877108349268,0.0,783.9,0.8,-0.0,-0.0,0.0849908193217101,0.1403508771929806,0.0,223.97142857142856,341.4275,565.3989285714285,25.0,0.05,500.0,500.0,20.0,20.0,38.0,38.0
0,1,0.0,0.0,1167.3144698986332,0.7513788516306535,0.0,0.0,0.0854921190192983,0.0,0.6093172255401968,333.51841997103804,233.01,566.528419971038,0.0,0.1,25.690381765299144,25.690381765299144,3.802010129160944,3.802010129160944,9.67922446018767,9.67922446018767
0,2,0.0,0.0,74.62498658488018,0.7242717454669639,0.0,0.0,0.0790576223220935,0.0,0.2938997647107449,21.3214247385372,233.01,254.33142473853715,0.0,0.1,23.7568155077891,23.7568155077891,0.313799927405474,0.313799927405474,0.6187809832908804,0.6187809832908804
0,3,0.0,0.0,65.05239931240935,0.6974665970194934,0.0,0.0,0.0835965336432924,0.0,0.2934364648920134,18.58639980354553,233.01,251.5963998035455,0.0,0.1,25.1207583598094,25.1207583598094,0.2609218301156019,0.2609218301156019,0.5394062961227972,0.5394062961227972
0,4,0.0,0.0,68.06275293089632,0.6710170176987438,0.0,0.0,0.0792551436981462,0.0,0.2921237002583211,19.44650083739895,233.01,252.4565008373989,0.0,0.1,23.81617068129294,23.81617068129294,0.2699635800581715,0.2699635800581716,0.5643677689129047,0.5643677689129047
0,5,0.0,0.0,65.12610065040995,0.644672656013315,0.0,0.0,0.0857051254703891,0.0,0.2945128726266183,18.60745732868856,233.01,251.6174573286885,0.0,0.1,25.754390203851937,25.754390203851937,0.2608825992365776,0.2608825992365776,0.5400174183284407,0.5400174183284407
0,6,0.0,0.0,69.49567456022287,0.618687183416599,0.0,0.0,0.0803502168462263,0.0,0.2930811905487427,19.855907017206533,233.01,252.8659070172065,0.0,0.1,24.14524016229101,24.14524016229101,0.274424037323351,0.274424037323351,0.5762493744628762,0.5762493744628762
0,7,0.0,0.0,65.87694579192285,0.5930024627563583,0.0,0.0,0.0811903054528341,0.0,0.2924677323911214,18.82198451197796,233.01,251.8319845119779,0.0,0.1,24.397686788576667,24.397686788576667,0.2632494819384849,0.2632494819384849,0.5462433316079837,0.5462433316079839
0,8,0.0,0.0,66.43110181183974,0.567513294740763,0.0,0.0,0.0827109610731157,0.0,0.2933871508204771,18.980314803382782,233.01,251.9903148033828,0.0,0.1,24.85464380247128,24.85464380247128,0.2649001920100945,0.2649001920100945,0.5508383234812582,0.5508383234812582
0,9,0.0,0.0,67.46696971528434,0.5423071757253745,0.0,0.0,0.0812757521642416,0.0,0.2929647910197127,19.27627706150981,233.01,252.28627706150976,0.0,0.1,24.423363525354624,24.423363525354624,0.2681357190031039,0.2681357190031039,0.559427609579472,0.559427609579472
0,10,0.2915326846493091,0.0,66.49649222783619,0.5368841039681207,0.0,0.0,0.0789684053345203,0.0,0.0,18.998997779381767,233.01,252.00899777938173,0.0,0.1,23.730005803023364,23.730005803023364,0.2651362497210279,0.2651362497210278,0.5513805325691226,0.5513805325691226
0,11,0.2904665797191476,0.0,64.92401113463451,0.5315152629284395,0.0,0.0,0.0777359885157026,0.0,0.0,18.54971746703843,233.01,251.5597174670384,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867891,0.2602214242867891,0.5383417175342828,0.5383417175342828
1,12,0.384510053941351,0.0,64.92401113463451,0.5315152629284395,-0.0,-0.0,0.0793247647002628,0.0932482917418295,0.0,18.54971746703843,233.01,251.55971746703835,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867891,0.2602214242867891,0.5383417175342828,0.5383417175342828
1,13,0.2912545490341886,0.0,64.07915676040822,0.5262001102991551,0.0,0.0,0.0797926444180117,0.0,0.0,18.30833050297377,233.01,251.3183305029737,0.0,0.1,23.97768964761253,23.97768964761253,0.2575589074885077,0.2575589074885077,0.5313362915456735,0.5313362915456735
1,14,0.2886469674853467,0.0,65.47280895616798,0.5209381091961636,0.0,0.0,0.0737871141672872,0.0,0.0,18.706516844619426,233.01,251.7165168446193,0.0,0.1,22.173027807269825,22.173027807269825,0.2618794790006199,0.2618794790006199,0.5428922799018904,0.5428922799018904
1,15,0.2896030522389261,0.0,61.39813688057984,0.5157287281042019,0.0,0.0,0.0780234314004063,0.0,0.0,17.54232482302281,233.01,250.5523248230228,0.0,0.1,23.4460411358221,23.4460411358221,0.249224371708656,0.249224371708656,0.5091056126084563,0.5091056126084563
1,16,0.2883921607471217,0.0,64.25804450658019,0.5105714408231599,0.0,0.0,0.0739714674516031,0.0,0.0,18.35944128759434,233.01,251.3694412875943,0.0,0.1,22.228425969206747,22.228425969206747,0.2580427519393642,0.2580427519393642,0.5328196061905487,0.5328196061905489
1,17,0.2906222033771787,0.0,61.51768851355528,0.5054657264149283,0.0,0.0,0.0799914504390298,0.0,0.0,17.576482432444365,233.01,250.5864824324443,0.0,0.1,24.03743085692848,24.03743085692848,0.2495710925473268,0.2495710925473268,0.5100969196812212,0.5100969196812212
1,18,0.289285968305653,0.0,65.59596286676742,0.5004110691507789,0.0,0.0,0.0749935357231445,0.0,0.0,18.741703676219263,233.01,251.7517036762192,0.0,0.1,22.53555748480494,22.53555748480494,0.2622098086513517,0.2622098086513517,0.543913456606695,0.543913456606695
1,19,0.3692930835275428,0.0,62.21848273854788,0.5,0.0,0.0,0.0757776184226452,0.080579676153138,0.0,17.77670935387082,233.01,250.7867093538708,0.0,0.1,22.77117433600489,22.77117433600489,0.2517802240447837,0.2517802240447837,0.5159078170692196,0.5159078170692194
1,20,0.3772908294875815,0.0,62.73569502437776,0.5,0.0,0.0,0.0771968970015746,0.0877192982456141,0.0,17.92448429267936,233.01,250.9344842926793,0.0,0.1,23.19766754897319,23.19766754897319,0.2533208867826211,0.2533208867826211,0.5201964761557027,0.5201964761557027
1,21,0.3768966270068697,0.0,63.70250506759864,0.5,0.0,0.0,0.0758573686866255,0.0877192982456141,0.0,18.20071573359961,233.01,251.2107157335996,0.0,0.1,22.795139290330987,22.795139290330987,0.2563407119761414,0.2563407119761414,0.5282131431807516,0.5282131431807514
1,22,0.3755599943944931,0.0,62.7967260793138,0.5,0.0,0.0,0.0737038449788856,0.0877192982456141,0.0,17.9419217369468,233.01,250.9519217369468,0.0,0.1,22.148005416155137,22.148005416155137,0.2535412073128709,0.2535412073128709,0.5207025379710929,0.5207025379710927
1,23,0.3745649631263423,0.0,61.32907705899222,0.5,0.0,0.0,0.0725535892813224,0.0877192982456141,0.0,17.52259344542635,233.01,250.5325934454263,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075813,0.2489540369075813,0.5085329772719088,0.508532977271909
2,24,0.3751180760854875,0.0,61.32907705899222,0.5,-0.0,-0.0,0.0736587100788154,0.087719298245614,0.0,17.52259344542635,233.01,250.53259344542627,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075813,0.2489540369075813,0.5085329772719088,0.508532977271909
