hour,interval,Pimp,Pexp,H,SoC,L_BW1,L_BW2,A_DC,Pch,Pdis,P_source,P_fan,P_cooling,TRCU,QRCU,PS1,PS2,Ti1,Ti2,To1,To2,B
7,95,0.7301298136883312,0.0,154.79736302569205,0.5,196.065798572314,0.0,0.207295969375207,0.0877192982456141,0.0,44.22781800734059,233.00999999999996,277.23781800734054,0.0,0.1,323.71350356033514,62.29243879724972,0.5419061087669823,0.5419061087669823,1.2835602240936324,1.2835602240936324,-0.0
8,96,0.5067501331546745,0.0,154.79736302569208,0.5,-0.0,-0.0,0.2833027310723671,0.087719298245614,0.0,44.227818007340595,233.01000000000005,277.23781800734065,0.0,0.1,323.71350356033514,62.29243879724972,0.5419061087669823,0.5419061087669823,1.2835602240936324,1.2835602240936324,16.998163864342033
8,97,0.5913983174666487,0.0,448.13883563343535,0.5,0.0,0.0,0.2849737300643277,0.0877192982456147,0.0,128.03966732383867,233.01,361.04966732383866,0.0,0.1,85.63460588433048,85.63460588433048,2.3750841541179435,0.5348060639715654,6.166942398334289,1.2648790881240075,34.09658766820169
8,98,0.5116801677626487,0.0,206.69741030053,0.5,0.0,0.0,0.2635254077403117,0.0877192982456141,0.0,59.05640294300857,233.00999999999996,292.06640294300854,0.0,0.1,79.18938502596367,79.18938502596367,0.7198342863161323,0.699043579889286,1.7253235980180164,1.7024941515761791,49.90811213262039
8,99,0.5147691112758092,0.0,191.0052529068904,0.5,0.0,0.0,0.2786551121443082,0.0877192982456141,0.0,54.572929401968686,233.00999999999996,287.58292940196867,0.0,0.1,83.73586119936463,83.73586119936463,0.6557428538091733,0.6555279013955976,1.583909498814292,1.5836734681324809,66.6274188612789
8,100,0.5054449157548284,0.0,201.2074249131576,0.5,0.0,0.0,0.2641838123271541,0.0877192982456141,0.0,57.487835689473606,233.00999999999996,290.49783568947356,0.0,0.1,79.38723560430981,79.38723560430981,0.6870417198888308,0.6870394975237436,1.6683878280487452,1.66838538775818,82.47844760090815
8,101,0.5034215889104074,0.0,191.420317392596,0.5,0.0,0.0,0.2856837515679638,0.0877192982456141,0.0,54.69151925502744,233.00999999999996,287.7015192550274,0.0,0.1,85.84796734617312,85.84796734617312,0.6567837738004464,0.6567837508237023,1.5872331584905122,1.587233133260665,99.619472694986
8,102,0.4687237504379308,0.0,205.98558168018545,0.5,0.0,0.0,0.2678340561540877,0.0877192982456141,0.0,58.85302333719584,233.00999999999996,291.8630233371958,0.0,0.1,80.48413387430337,80.48413387430337,0.7019220247192409,0.7019220244816874,1.708006481724001,1.7080064814631533,115.68951606423126
8,103,0.4467598599654659,0.0,193.9231526378071,0.5,0.0,0.0,0.2706343515094472,0.0877192982456141,0.0,55.40661503937347,233.00999999999996,288.4166150393734,0.0,0.1,81.3256226285889,81.3256226285889,0.6646735080513233,0.6646735080488673,1.6079863402816728,1.6079863402789758,131.9275771547981
8,104,0.4199930680638657,0.0,195.7703393727792,0.5,0.0,0.0,0.2757032035770524,0.0877192982456141,0.0,55.93438267793691,233.00999999999996,288.94438267793686,0.0,0.1,82.84881267490425,82.84881267490425,0.6701758749699394,0.6701758749699139,1.6233029798738048,1.6233029798737768,148.4697693694212
