hour,SoC_final,TRCU_final,QRCU_final,PS1_final,PS2_final,Ti_1_final,To_1_final,Ti_2_final,To_2_final
0.0,0.5315152629284395,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867892,0.538341717534283,0.2602214242867892,0.538341717534283
1.0,0.5,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075814,0.5085329772719088,0.2489540369075814,0.508532977271909
2.0,0.5,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283737,0.478724237009535,0.2376866495283737,0.4787242370095348
3.0,0.5,0.0,0.1,19.46638712414054,19.46638712414054,0.2320529558387698,0.463819866878348,0.2320529558387698,0.463819866878348
4.0,0.5,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283737,0.478724237009535,0.23768664952837373,0.47872423700953487
5.0,0.5,0.0,0.1,27.252941973796755,27.252941973796755,0.2883898927348085,0.6128635681902178,0.2883898927348085,0.6128635681902178
6.0,0.5,0.0,0.1,46.71932909793729,46.71932909793729,0.429232234974905,0.9854728214698926,0.429232234974905,0.9854728214698923
7.0,0.5000000470783177,1.7620299719695193e-05,0.0999999644933176,62.292706100321695,62.29270610305121,0.541907926684568,1.2835650628844153,0.5419079266670322,1.2835650628373745
8.0,0.5000000470782515,1.759611264062824e-05,0.0999999645986756,77.86577223596471,77.86577224083327,0.6545817382741853,1.5816523006088676,0.6545817382312623,1.5816523004937149
9.0,0.5,1.7321675547760276,0.1,85.65210334621837,85.65210334621837,0.7123931218369383,1.7321675547760276,0.7123931218369384,1.7321675547760276
10.0,0.5227506798161158,2.05495776240915,0.1,115.45737694294736,89.54538077104647,0.9283144224694766,2.3029506098498658,0.7408370950284162,1.806964914968434
11.0,0.7294229220754139,2.1791844200362105,0.1,93.43865819587458,93.43865819587458,0.9940847101160866,2.4767759854230578,0.76911164678635,1.8815928546493632
12.0,0.6978843953597866,1.8847073299909407,0.1,93.43865819587458,156.12041573596375,0.7693627494414517,1.8818434967737796,0.7745789175885981,1.8875711632081016
13.0,0.6768673826348043,1.806753280050322,0.1,89.54538077104647,128.42110380462788,0.7406255827393818,1.806753430093975,0.7406253094507987,1.8067531300066693
14.0,0.5532980012387773,1.732167554776112,0.1,85.65210334621837,85.65210334621837,0.7123931218369726,1.7321675547760649,0.7123931218370578,1.7321675547761586
15.0,0.5,0.0,0.1,77.86554849656216,77.86554849656216,0.6545799825590596,1.5816476267173722,0.6545799825590596,1.5816476267173722
16.0,0.5000000470782514,1.433834894766676,0.0999999634351585,70.07958028409404,70.0795803378051,0.5994688909378595,1.4338368762923963,0.5994688905394912,1.4338368752236057
17.0,0.5000000470782514,1.2846629820281108,0.0999999635492756,62.29332530904193,62.29332544027581,0.5430042978396298,1.2846649631611582,0.5430042975060756,1.2846649622663104
18.0,0.5000000470782514,1.762012988291756e-05,0.0999999643862644,54.50675086778279,54.506750994436366,0.4855742438021995,1.134529970029745,0.4855742432234517,1.134529968477072
19.0,0.5,0.0,0.1,46.71932909793729,46.71932909793729,0.429232234974905,0.9854728214698926,0.429232234974905,0.9854728214698923
20.0,0.5,0.0,0.1,38.93277424828108,38.93277424828108,0.3728952980788664,0.8364291201580227,0.3728952980788664,0.8364291201580227
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
